Dataset,Column,Unique_Count,Avg_Text_Length
Equipment_Events,Event_ID,45,7.0
Equipment_Events,Equipment_Name,19,6.84
Equipment_Events,Event_Time,45,17.5
Equipment_Events,Event_Type,7,5.59
Equipment_Events,Status,4,6.17
Equipment_Events,Meter_Unit,2,4.78
Equipment_Events,Location,3,8.67
Equipment_Events,Operator_ID,8,6.0
Equipment_Events,Source_System,1,11.0
Equipment_Events,Comment,3,15.87
Delays_Downtime,Delay_ID,45,7.0
Delays_Downtime,Equipment_Name,20,6.74
Delays_Downtime,Start_Time,45,17.43
Delays_Downtime,End_Time,45,17.57
Delays_Downtime,Duration_Unit,2,6.52
Delays_Downtime,Delay_Category,7,9.2
Delays_Downtime,Cause_Code,4,3.0
Delays_Downtime,Operator_ID,8,6.0
Delays_Downtime,Approved_By,2,5.0
Delays_Downtime,Comment,4,11.72
Operator_Activities,Activity_ID,45,7.0
Operator_Activities,Operator_ID,8,6.0
Operator_Activities,Operator_Name,8,12.02
Operator_Activities,Email,8,25.02
Operator_Activities,Mobile_Number,8,11.22
Operator_Activities,Home_Zone,4,9.5
Operator_Activities,Contractor_Group,3,12.0
Operator_Activities,Equipment_Name,20,6.85
Operator_Activities,Activity_Start,45,17.5
Operator_Activities,Activity_End,45,17.5
Operator_Activities,Activity_Type,5,7.09
Operator_Activities,Quantity_Unit,2,5.17
Operator_Activities,Supervisor_ID,3,5.0
Operator_Activities,Comment,3,17.12
Shift_Performance,Shift_Record_ID,45,7.0
Shift_Performance,Shift_Date,44,10.0
Shift_Performance,Shift_Code,2,4.0
Shift_Performance,Crew,3,5.61
Shift_Performance,Equipment_Name,18,7.5
Shift_Performance,Operator_ID,8,6.0
Shift_Performance,Fuel_Unit,2,6.02
Shift_Performance,Supervisor_Comment,4,15.66
Safety_Observations,Observation_ID,45,7.0
Safety_Observations,Observation_Date,45,17.5
Safety_Observations,Reporter_ID,3,5.37
Safety_Observations,Observed_Person_ID,8,6.0
Safety_Observations,Equipment_Name,21,6.96
Safety_Observations,Category,7,10.2
Safety_Observations,Severity,5,4.22
Safety_Observations,Location,3,8.57
Safety_Observations,Description,5,26.64
Safety_Observations,Immediate_Action,3,15.8
Safety_Observations,Status,3,6.35
Safety_Observations,Closed_Date,14,17.71
Safety_Observations,Attachment_Name,2,12.0
Training_Records,Training_Record_ID,45,7.0
Training_Records,Operator_ID,8,6.0
Training_Records,Operator_Name,8,11.96
Training_Records,Course_Code,4,5.67
Training_Records,Course_Name,3,15.96
Training_Records,Completion_Date,45,10.0
Training_Records,Expiry_Date,45,10.0
Training_Records,Result,2,4.0
Training_Records,Provider,3,9.26
Training_Records,Certificate_Number,45,10.0
Training_Records,Medical_Fitness_Code,3,4.0
Training_Records,Home_Zone,4,9.48
Training_Records,Comment,2,17.48
Maintenance_Notifications,Notification_ID,45,7.0
Maintenance_Notifications,Equipment_Name,21,7.2
Maintenance_Notifications,Raised_Date,45,17.43
Maintenance_Notifications,Priority,4,3.13
Maintenance_Notifications,Notification_Type,4,9.33
Maintenance_Notifications,Fault_Code,4,4.7
Maintenance_Notifications,Description,4,20.15
Maintenance_Notifications,Reported_By,3,5.65
Maintenance_Notifications,Planned_Start,45,17.57
Maintenance_Notifications,Actual_Start,45,17.43
Maintenance_Notifications,Actual_End,44,17.53
Maintenance_Notifications,Work_Order_ID,45,8.0
Maintenance_Notifications,Status,3,7.04
Environmental_Readings,Reading_ID,45,7.0
Environmental_Readings,Reading_Time,45,17.43
Environmental_Readings,Sensor_ID,5,6.0
Environmental_Readings,Location,3,8.63
Environmental_Readings,Reading_Type,4,7.15
Environmental_Readings,Unit,5,2.43
Environmental_Readings,Quality_Flag,3,6.9
Environmental_Readings,Equipment_Nearby,21,6.96
Environmental_Readings,Calibration_Due,45,10.0
Environmental_Readings,Comment,3,14.74
Access_Control,Access_Event_ID,45,7.0
Access_Control,Event_Time,45,17.5
Access_Control,Badge_ID,8,8.0
Access_Control,Employee_ID,9,6.0
Access_Control,Employee_Name,8,12.02
Access_Control,Access_Point,3,11.78
Access_Control,Direction,4,3.54
Access_Control,Access_Result,3,6.76
Access_Control,Reason,3,13.65
Access_Control,Contractor_Group,3,12.0
Access_Control,Home_Zone,4,9.48
Access_Control,Device_ID,4,5.0
