,Dataset,Column,Missing_Count,Total_Rows,Missing_Pct(%)
112,Access_Control,Reason,15,46,32.61
106,Access_Control,Badge_ID,1,46,2.17
104,Access_Control,Access_Event_ID,0,46,0.0
105,Access_Control,Event_Time,0,46,0.0
107,Access_Control,Employee_ID,0,46,0.0
108,Access_Control,Employee_Name,0,46,0.0
109,Access_Control,Access_Point,0,46,0.0
110,Access_Control,Direction,0,46,0.0
111,Access_Control,Access_Result,0,46,0.0
113,Access_Control,Contractor_Group,0,46,0.0
114,Access_Control,Home_Zone,0,46,0.0
115,Access_Control,Device_ID,0,46,0.0
20,Delays_Downtime,Approved_By,15,46,32.61
21,Delays_Downtime,Comment,10,46,21.74
15,Delays_Downtime,Duration,1,46,2.17
11,Delays_Downtime,Delay_ID,0,46,0.0
12,Delays_Downtime,Equipment_Name,0,46,0.0
13,Delays_Downtime,Start_Time,0,46,0.0
14,Delays_Downtime,End_Time,0,46,0.0
16,Delays_Downtime,Duration_Unit,0,46,0.0
17,Delays_Downtime,Delay_Category,0,46,0.0
18,Delays_Downtime,Cause_Code,0,46,0.0
19,Delays_Downtime,Operator_ID,0,46,0.0
100,Environmental_Readings,Quality_Flag,15,46,32.61
103,Environmental_Readings,Comment,8,46,17.39
93,Environmental_Readings,Reading_ID,0,46,0.0
94,Environmental_Readings,Reading_Time,0,46,0.0
95,Environmental_Readings,Sensor_ID,0,46,0.0
96,Environmental_Readings,Location,0,46,0.0
97,Environmental_Readings,Reading_Type,0,46,0.0
98,Environmental_Readings,Value,0,46,0.0
99,Environmental_Readings,Unit,0,46,0.0
101,Environmental_Readings,Equipment_Nearby,0,46,0.0
102,Environmental_Readings,Calibration_Due,0,46,0.0
10,Equipment_Events,Comment,15,46,32.61
1,Equipment_Events,Equipment_Name,1,46,2.17
0,Equipment_Events,Event_ID,0,46,0.0
2,Equipment_Events,Event_Time,0,46,0.0
3,Equipment_Events,Event_Type,0,46,0.0
4,Equipment_Events,Status,0,46,0.0
5,Equipment_Events,Meter_Reading,0,46,0.0
6,Equipment_Events,Meter_Unit,0,46,0.0
7,Equipment_Events,Location,0,46,0.0
8,Equipment_Events,Operator_ID,0,46,0.0
9,Equipment_Events,Source_System,0,46,0.0
89,Maintenance_Notifications,Actual_End,1,46,2.17
79,Maintenance_Notifications,Notification_ID,0,46,0.0
80,Maintenance_Notifications,Equipment_Name,0,46,0.0
81,Maintenance_Notifications,Raised_Date,0,46,0.0
82,Maintenance_Notifications,Priority,0,46,0.0
83,Maintenance_Notifications,Notification_Type,0,46,0.0
84,Maintenance_Notifications,Fault_Code,0,46,0.0
85,Maintenance_Notifications,Description,0,46,0.0
86,Maintenance_Notifications,Reported_By,0,46,0.0
87,Maintenance_Notifications,Planned_Start,0,46,0.0
88,Maintenance_Notifications,Actual_Start,0,46,0.0
90,Maintenance_Notifications,Downtime_Hours,0,46,0.0
91,Maintenance_Notifications,Work_Order_ID,0,46,0.0
92,Maintenance_Notifications,Status,0,46,0.0
36,Operator_Activities,Comment,6,46,13.04
23,Operator_Activities,Operator_ID,1,46,2.17
22,Operator_Activities,Activity_ID,0,46,0.0
24,Operator_Activities,Operator_Name,0,46,0.0
25,Operator_Activities,Email,0,46,0.0
26,Operator_Activities,Mobile_Number,0,46,0.0
27,Operator_Activities,Home_Zone,0,46,0.0
28,Operator_Activities,Contractor_Group,0,46,0.0
29,Operator_Activities,Equipment_Name,0,46,0.0
30,Operator_Activities,Activity_Start,0,46,0.0
31,Operator_Activities,Activity_End,0,46,0.0
32,Operator_Activities,Activity_Type,0,46,0.0
33,Operator_Activities,Quantity,0,46,0.0
34,Operator_Activities,Quantity_Unit,0,46,0.0
35,Operator_Activities,Supervisor_ID,0,46,0.0
63,Safety_Observations,Closed_Date,32,46,69.57
64,Safety_Observations,Attachment_Name,15,46,32.61
60,Safety_Observations,Description,10,46,21.74
