Dataset,Column,Potential_Sensitivity
Equipment_Events,Equipment_Name,True
Equipment_Events,Operator_ID,True
Delays_Downtime,Equipment_Name,True
Delays_Downtime,Operator_ID,True
Operator_Activities,Operator_ID,True
Operator_Activities,Operator_Name,True
Operator_Activities,Email,True
Operator_Activities,Mobile_Number,True
Operator_Activities,Home_Zone,True
Operator_Activities,Equipment_Name,True
Shift_Performance,Equipment_Name,True
Shift_Performance,Operator_ID,True
Safety_Observations,Equipment_Name,True
Safety_Observations,Attachment_Name,True
Training_Records,Operator_ID,True
Training_Records,Operator_Name,True
Training_Records,Course_Name,True
Training_Records,Medical_Fitness_Code,True
Training_Records,Home_Zone,True
Maintenance_Notifications,Equipment_Name,True
Access_Control,Badge_ID,True
Access_Control,Employee_ID,True
Access_Control,Employee_Name,True
Access_Control,Home_Zone,True
