Delay_ID,Equipment_Name,Start_Time,End_Time,Duration,Duration_Unit,Delay_Category,Cause_Code,Operator_ID,Approved_By,Comment
DLY0001,TRK-002,2026-07-01 12:00:00,2026-07-01 12:45:00,45.0,minutes,Weather,UNK,OP1002,,unknown
DLY0002,TRK-003,2026-07-01 18:00:00,2026-07-01 18:30:00,30.0,minutes,Mechanical,ENV,OP1003,SUP01,awaiting spares
DLY0003,EXC-001,2026-07-02 00:00:00,2026-07-02 00:45:00,45.0,minutes,Weather,ENV,OP1004,SUP01,unknown
DLY0004,EXC-002,2026-07-02 06:00:00,2026-07-02 08:00:00,120.0,minutes,Other,UNK,OP1005,,rain delay
DLY0005,DRL-001,2026-07-02 12:00:00,2026-07-02 13:30:00,90.0,minutes,No Operator,UNK,OP1006,,unknown
DLY0006,TRK-001,2026-07-02 18:00:00,2026-07-02 19:00:00,-45.0,minutes,Mechanical,UNK,OP1007,SUP01,rain delay
DLY0007,TRK-002,2026-07-03 00:00:00,2026-07-03 00:30:00,30.0,minutes,Weather,OPS,OP1008,SUP02,unknown
DLY0008,TRK-003,2026-07-03 06:00:00,2026-07-03 06:15:00,15.0,minutes,No Operator,ENV,OP1001,SUP01,rain delay
DLY0009,EXC-001,2026-07-03 12:00:00,2026-07-03 11:30:00,90.0,minutes,Mechanical,OPS,OP1002,SUP01,rain delay
DLY0010,EXC-002,2026-07-03 18:00:00,2026-07-03 19:00:00,60.0,minutes,Weather,OPS,OP1003,,
DLY0011,DRL-001,2026-07-04 00:00:00,2026-07-04 01:00:00,60.0,minutes,No Operator,OPS,OP1004,SUP01,unknown
DLY0012,TRK-001,2026-07-04 06:00:00,2026-07-04 06:45:00,45.0,minutes,Operational,ENG,OP1005,SUP02,awaiting spares
DLY0013,TRK-002,2026-07-04 12:00:00,2026-07-04 14:00:00,120.0,minutes,No Operator,ENG,OP1006,SUP01,unknown
DLY0014,TRK-003,2026-07-04 18:00:00,2026-07-04 18:45:00,45.0,minutes,Other,ENG,OP1007,,unknown
