Reading_ID,Reading_Time,Sensor_ID,Location,Reading_Type,Value,Unit,Quality_Flag,Equipment_Nearby,Calibration_Due,Comment
ENV0001,2026-07-01 09:00:00,SNS-02,North Pit,Rainfall,2.48,mm,Good,TRK-002,2026-08-02,manual capture
ENV0002,2026-07-01 12:00:00,SNS-03,North Pit,Rainfall,7.09,mm,Suspect,truck03,2026-03-08,
ENV0003,2026-07-01 15:00:00,SNS-04,South Pit,Temperature,20.75,C,Estimated,EXC001,2026-08-04,windy conditions
ENV0004,2026-07-01 18:00:00,SNS-05,South Pit,Noise,83.03,dB,,EXC-02,2026-08-05,sensor cleaned
ENV0005,2026-07-01 21:00:00,SNS-01,South Pit,Rainfall,17.05,mm,Suspect,Drill 01,2026-08-06,sensor cleaned
ENV0006,2026-07-02 00:00:00,SNS-02,South Pit,Noise,96.14,dB,Good,truck01,2026-07-08,windy conditions
ENV0007,2026-07-02 03:00:00,SNS-03,North Pit,Temperature,12.2,C,Estimated,TRK002,2026-08-08,manual capture
ENV0008,2026-07-02 06:00:00,SNS-04,South Pit,Temperature,35.85,C,Suspect,truck03,2026-08-09,manual capture
ENV0009,2026-07-02 09:00:00,SNS-05,Workshop,Rainfall,6.65,ppm,Suspect,EX 001,2026-08-10,sensor cleaned
ENV0010,2026-07-02 12:00:00,SNS-01,Workshop,Dust,2.08,mg/m3,Good,EXC002,2026-11-08,windy conditions
ENV0011,2026-07-02 15:00:00,SNS-02,Workshop,Rainfall,10.08,mm,Suspect,DRL001,2026-08-12,sensor cleaned
ENV0012,2026-07-02 18:00:00,SNS-03,Workshop,Temperature,38.24,C,,TRK001,2026-08-13,
ENV0013,2026-07-02 21:00:00,SNS-04,South Pit,Rainfall,8.08,mm,,Truck 2,2026-08-14,
ENV0014,2026-07-03 00:00:00,SNS-05,Workshop,Noise,92.95,dB,Good,TRK003,2026-08-15,sensor cleaned
ENV0015,2026-07-03 03:00:00,SNS-01,South Pit,Temperature,13.75,C,Good,EXC-01,2026-08-16,sensor cleaned
ENV0016,2026-07-03 06:00:00,SNS-02,South Pit,Rainfall,-25.0,mm,Estimated,Excavator 2,2026-08-17,sensor cleaned
ENV0017,2026-07-03 09:00:00,SNS-03,Workshop,Noise,62.94,dB,,DRILL-1,2026-08-18,windy conditions
