Notification_ID,Equipment_Name,Raised_Date,Priority,Notification_Type,Fault_Code,Description,Reported_By,Planned_Start,Actual_Start,Actual_End,Downtime_Hours,Work_Order_ID,Status
MNT0001,TRK-002,2026-07-01 13:00:00,P1,Breakdown,ELC03,Scheduled service,OP1001,2026-07-02 13:00:00,2026-07-02 13:00:00,2026-07-02 15:00:00,2,WO-10001,In Progress
MNT0002,TRK-003,2026-07-01 20:00:00,P2,Planned,ELC03,Hydraulic leak,SUP01,2026-07-02 20:00:00,2026-07-03 04:00:00,2026-07-03 06:00:00,2,WO-10002,Open
MNT0003,EXC-001,2026-07-02 03:00:00,P3,Breakdown,ENG01,Scheduled service,SYSTEM,2026-07-03 03:00:00,2026-07-03 01:00:00,2026-07-03 02:00:00,1,WO-10003,In Progress
MNT0004,EXC-002,2026-07-02 10:00:00,P1,Inspection,UNK,Hydraulic leak,SUP01,2026-07-03 10:00:00,2026-07-03 10:00:00,2026-07-03 14:00:00,4,WO-10004,Closed
MNT0005,DRL-001,2026-07-02 17:00:00,P1,Inspection,HYD02,High temperature warning,SYSTEM,2026-07-03 17:00:00,2026-07-03 17:00:00,2026-07-03 18:00:00,1,WO-10005,Closed
MNT0006,TRK-001,2026-07-03 00:00:00,P3,Breakdown,HYD02,Scheduled service,SUP01,2026-07-04 00:00:00,2026-07-04 08:00:00,2026-07-04 09:00:00,1,WO-10006,In Progress
MNT0007,TRK-002,2026-07-03 07:00:00,P1,Inspection,ELC03,High temperature warning,SUP01,2026-07-04 07:00:00,2026-07-04 07:00:00,2026-07-04 15:00:00,-4,WO-10007,In Progress
MNT0008,TRK-003,2026-07-03 14:00:00,Urgent,Planned,ENG01,Scheduled service,OP1001,2026-07-04 14:00:00,2026-07-04 17:00:00,2026-07-04 21:00:00,4,WO-10008,In Progress
MNT0009,EXC-001,2026-07-03 21:00:00,P3,Breakdown,UNK,Intermittent sensor alarm,SUP01,2026-07-04 21:00:00,2026-07-05 05:00:00,2026-07-05 07:00:00,2,WO-10009,Open
MNT0010,EXC-002,2026-07-04 04:00:00,Urgent,Breakdown,ENG01,High temperature warning,SUP01,2026-07-05 04:00:00,2026-07-05 12:00:00,2026-07-05 13:00:00,1,WO-10010,Closed
