Shift_Record_ID,Shift_Date,Shift_Code,Crew,Equipment_Name,Operator_ID,Scheduled_Hours,Actual_Hours,Loads,Tonnes,Fuel_Used,Fuel_Unit,Availability_Pct,Utilisation_Pct,Supervisor_Comment
SHF0001,2026-07-01,Day,Charlie,TRK-002,OP1002,12,9,31,2945,486.0,litres,0.77,0.7,Road wet
SHF0002,2026-01-07,Night,Alpha,TRK-003,OP1003,12,9,26,2470,438.0,litres,0.88,0.67,Older equipment allocated
SHF0003,2026-07-02,Day,Bravo,EXC-001,OP1004,12,9,39,3315,774.0,litres,0.74,0.67,Road wet
SHF0004,2026-07-02,Night,Bravo,EXC-002,OP1005,12,10,21,1995,828.0,litres,0.97,0.83,
SHF0005,2026-07-03,Day,Bravo,DRL-001,OP1006,12,26,37,3330,632.0,litres,0.78,0.64,Older equipment allocated
SHF0006,2026-03-07,Night,Alpha,TRK-001,OP1007,12,8,38,3420,616.0,litres,0.93,0.91,Short staffed
SHF0007,2026-07-04,Day,Charlie,TRK-002,OP1008,12,11,26,2470,731.0,litres,0.74,0.64,Older equipment allocated
SHF0008,2026-07-04,Night,Bravo,TRK-003,OP1001,12,10,32,2720,516.0,litres,0.98,0.85,
SHF0009,2026-07-05,Day,Alpha,EXC-001,OP1002,12,11,29,2465,443.0,litres,0.74,0.62,Older equipment allocated
SHF0010,2026-05-07,Night,Charlie,EXC-002,OP1003,12,9,19,1615,804.0,litres,0.7,0.93,Normal conditions
SHF0011,2026-07-06,Day,Alpha,DRL-001,OP1004,12,9,28,2380,445.0,litres,0.97,0.62,
SHF0012,2026-07-06,Night,Alpha,TRK-001,OP1005,12,9,26,2470,527.0,litres,0.95,0.91,Road wet
SHF0013,2026-07-07,Day,Charlie,TRK-002,OP1006,12,10,18,1620,441.0,litres,0.9,0.9,Older equipment allocated
SHF0014,2026-07-07,Night,Charlie,TRK-003,OP1007,12,10,-3,3705,475.0,litres,0.98,0.78,Short staffed
SHF0015,2026-07-08,Day,Alpha,EXC-001,OP1008,12,11,36,3240,487.0,litres,0.99,0.89,
