Rule_ID,Rule_Type,Reason,Action_Type,Review_Status,Transformation_Count,Dataset_Count,Affected_Column_Count
DQ-0052,Consistency,Equipment aliases cause false reconciliation exceptions when left unstandardised,AUTO_CORRECT,AUTO_CORRECT,44,1,1
DQ-0043,Consistency,Equipment aliases cause false reconciliation exceptions when left unstandardised,AUTO_CORRECT,AUTO_CORRECT,42,1,1
DQ-0070,Consistency,Equipment aliases cause false reconciliation exceptions when left unstandardised,AUTO_CORRECT,AUTO_CORRECT,41,1,1
DQ-0148,Consistency,Equipment aliases cause false reconciliation exceptions when left unstandardised,AUTO_CORRECT,AUTO_CORRECT,41,1,1
DQ-0095,Consistency,Equipment aliases cause false reconciliation exceptions when left unstandardised,AUTO_CORRECT,AUTO_CORRECT,40,1,1
DQ-0122,Consistency,Equipment aliases cause false reconciliation exceptions when left unstandardised,AUTO_CORRECT,AUTO_CORRECT,38,1,1
DQ-0169,Consistency,Equipment aliases cause false reconciliation exceptions when left unstandardised,AUTO_CORRECT,AUTO_CORRECT,37,1,1
DQ-0059,Validity,Profile shows date/time-like field requiring consistent parsing,AUTO_CORRECT,AUTO_CORRECT,35,1,1
DQ-0018,Validity,Profile shows date/time-like field requiring consistent parsing,AUTO_CORRECT,AUTO_CORRECT,35,1,1
DQ-0088,Validity,Profile shows date/time-like field requiring consistent parsing,AUTO_CORRECT,AUTO_CORRECT,35,1,1
DQ-0102,Validity,Profile shows date/time-like field requiring consistent parsing,AUTO_CORRECT,AUTO_CORRECT,35,1,1
DQ-0110,Validity,Profile shows date/time-like field requiring consistent parsing,AUTO_CORRECT,AUTO_CORRECT,35,1,1
DQ-0104,Validity,Profile shows date/time-like field requiring consistent parsing,AUTO_CORRECT,AUTO_CORRECT,35,1,1
DQ-0047,Validity,Profile shows date/time-like field requiring consistent parsing,AUTO_CORRECT,AUTO_CORRECT,35,1,1
DQ-0049,Validity,Profile shows date/time-like field requiring consistent parsing,AUTO_CORRECT,AUTO_CORRECT,35,1,1
DQ-0041,Validity,Profile shows date/time-like field requiring consistent parsing,AUTO_CORRECT,AUTO_CORRECT,35,1,1
DQ-0076,Validity,Profile shows date/time-like field requiring consistent parsing,AUTO_CORRECT,AUTO_CORRECT,35,1,1
DQ-0191,Validity,Profile shows date/time-like field requiring consistent parsing,AUTO_CORRECT,AUTO_CORRECT,35,1,1
